code,trade_date,open,high,low,close,volume,amount,turn,pe_ttm
sh.600000,2026-07-14,9.2,9.21,9.07,9.16,81396248,743787542.31,0.2444,6.067651
sh.600004,2026-07-14,7.47,7.58,7.43,7.55,10800208,81239569.12,0.4563,14.519158
sh.600006,2026-07-14,5.1,5.25,5.1,5.23,13838500,71696245.0,0.6919,-24.596422
sh.600007,2026-07-14,19.71,20.07,19.61,20.05,2140374,42441157.66,0.2125,16.881879
sh.600008,2026-07-14,2.82,2.88,2.8,2.85,77543852,220891717.6,1.0564,11.606552
sh.600009,2026-07-14,22.58,22.76,22.44,22.76,8571401,193549504.53,0.4189,26.031588
sh.600010,2026-07-14,2.15,2.23,2.1,2.22,814130153,1760611808.01,2.5995,-749.040814
sh.600011,2026-07-14,6.77,6.92,6.73,6.91,98992500,676145393.8,0.9001,7.792249
sh.600012,2026-07-14,16.87,17.14,16.61,16.8,4629595,78277000.0,0.3972,15.409901
sh.600015,2026-07-14,6.84,6.94,6.81,6.93,76171330,523977291.74,0.495,4.066157
sh.600016,2026-07-14,3.35,3.41,3.34,3.4,238359307,805898655.43,0.6722,5.074492
sh.600017,2026-07-14,2.63,2.7,2.61,2.68,41160800,109965327.0,1.3383,18.795848
sh.600018,2026-07-14,5.09,5.2,5.08,5.19,106963143,551731345.47,0.4601,8.84174
sh.600019,2026-07-14,5.49,5.6,5.47,5.6,90082647,500369140.68,0.4207,12.034208
sh.600020,2026-07-14,3.71,3.8,3.69,3.79,10748570,40412794.83,0.4783,13.314301
sh.600021,2026-07-14,13.46,13.6,13.26,13.59,30277486,406927506.63,1.073,15.306012
sh.600022,2026-07-14,1.29,1.33,1.28,1.31,107272054,140503571.28,1.0027,-638.401305
sh.600023,2026-07-14,5.39,5.49,5.35,5.47,49232596,268591005.91,0.3672,9.91048
sh.600025,2026-07-14,9.79,9.95,9.75,9.81,45102011,444114027.66,0.2421,21.403835
sh.600026,2026-07-14,15.21,15.28,14.67,15.28,71558089,1069588884.43,1.8693,15.194228
sh.600027,2026-07-14,4.51,4.62,4.5,4.62,74886268,342479903.02,0.8126,9.134231
sh.600028,2026-07-14,4.91,5.04,4.89,5.03,427350273,2121240630.57,0.451,17.109373
sh.600029,2026-07-14,4.98,5.04,4.95,5.04,61143124,305138978.1,0.4537,29.604436
sh.600030,2026-07-14,28.0,28.06,27.4,28.0,176676457,4904300719.15,1.451,12.319582
sh.600031,2026-07-14,18.59,18.69,18.1,18.63,81542991,1504981048.25,0.9622,20.346219
sh.600032,2026-07-14,6.46,6.52,6.4,6.52,16239854,105119960.13,0.6753,34.810187
sh.600033,2026-07-14,3.47,3.55,3.46,3.52,23453179,82481175.37,0.8546,10.08677
sh.600035,2026-07-14,3.49,3.56,3.47,3.55,8504881,30003702.06,0.5282,11.37621
sh.600036,2026-07-14,37.1,37.24,36.82,37.18,80415432,2979122981.93,0.3898,6.220183
sh.600037,2026-07-14,6.22,6.39,6.2,6.34,16047462,101194023.71,1.153,130.647163
sh.600038,2026-07-14,24.57,24.66,24.34,24.61,5135525,125882448.75,0.7677,41.369131
sh.600039,2026-07-14,8.38,8.5,8.36,8.44,10925747,91948552.38,0.1256,10.457443
sh.600048,2026-07-14,4.66,4.73,4.63,4.72,91485921,427870374.83,0.7643,-309.98698
sh.600050,2026-07-14,4.18,4.21,4.15,4.21,170436523,712768902.6,0.55,15.202618
sh.600051,2026-07-14,5.79,5.96,5.72,5.94,4327400,25328921.0,1.392,24.355455
sh.600052,2026-07-14,3.56,3.61,3.45,3.56,12285000,43409625.0,1.4552,-6.250718
sh.600054,2026-07-14,10.78,10.93,10.75,10.92,4127516,44870765.36,0.8041,27.444785
sh.600055,2026-07-14,10.69,10.84,10.53,10.61,6004800,64183771.0,0.8541,-26.751214
sh.600056,2026-07-14,9.3,9.59,9.21,9.5,31288058,296958282.1,2.0924,29.430784
sh.600057,2026-07-14,5.76,5.87,5.73,5.83,16542202,96246769.28,0.7905,12.680201
sh.600058,2026-07-14,9.66,9.66,9.22,9.22,19867950,183946819.04,1.8535,-318.70526
sh.600059,2026-07-14,7.75,7.83,7.66,7.7,9176827,71086320.06,1.0067,31.151878
sh.600060,2026-07-14,27.04,27.43,26.57,27.19,9473398,256362372.79,0.7286,14.243213
sh.600061,2026-07-14,6.45,6.53,6.42,6.52,30572975,198062471.21,0.4782,12.388461
sh.600062,2026-07-14,16.69,17.02,16.49,16.86,9293813,156778391.9,0.8952,10.774758
sh.600063,2026-07-14,5.56,5.89,5.51,5.77,72184715,410182325.08,3.4887,26.386994
sh.600064,2026-07-14,7.41,7.57,7.39,7.49,18496913,138462774.0,1.069,7.342676
sh.600066,2026-07-14,28.53,28.77,27.92,28.65,23112098,653908484.6,1.0439,11.619901
sh.600067,2026-07-14,2.65,2.84,2.61,2.84,31946237,87530414.75,2.2955,204.870838
sh.600071,2026-07-14,15.08,15.23,14.69,15.21,2268600,34056047.0,0.8057,157.473854
sh.600072,2026-07-14,8.25,8.3,8.03,8.11,24707925,200603450.5,2.2807,-3.716252
