code,trade_date,open,high,low,close,volume,amount,turn,pe_ttm
sh.600000,2026-07-07,8.89,8.97,8.78,8.89,51779460,458252573.64,0.1555,5.888801
sh.600004,2026-07-07,7.6,7.6,7.41,7.43,8630370,64466542.9,0.3647,14.28839
sh.600006,2026-07-07,5.34,5.41,5.22,5.23,12084204,63942898.56,0.6042,-24.596422
sh.600007,2026-07-07,19.85,19.86,19.35,19.41,1374601,26852401.35,0.1365,16.343006
sh.600008,2026-07-07,2.8,2.82,2.75,2.76,56039695,155385699.04,0.7634,11.240029
sh.600009,2026-07-07,23.25,23.31,22.8,22.83,10515706,241158108.6,0.5139,26.11165
sh.600010,2026-07-07,2.19,2.24,2.16,2.23,445695971,977388664.38,1.4231,-752.414871
sh.600011,2026-07-07,7.01,7.01,6.78,6.8,122442665,839073637.81,1.1133,7.668205
sh.600012,2026-07-07,16.96,17.09,16.38,16.92,5215911,87804183.77,0.4475,15.519972
sh.600015,2026-07-07,6.76,6.8,6.66,6.76,55166382,371304065.88,0.3585,3.96641
sh.600016,2026-07-07,3.33,3.34,3.28,3.31,188605014,623071886.88,0.5318,4.940167
sh.600017,2026-07-07,2.63,2.64,2.56,2.61,23813150,61692327.5,0.7742,18.304912
sh.600018,2026-07-07,4.99,5.03,4.93,5.01,77576103,387617144.4,0.3337,8.53509
sh.600019,2026-07-07,5.64,5.65,5.54,5.56,53134024,296203785.95,0.2481,11.94825
sh.600020,2026-07-07,3.81,3.81,3.72,3.77,10421140,39144506.8,0.4637,13.244041
sh.600021,2026-07-07,14.79,14.81,14.01,14.05,43651441,623344049.94,1.5469,15.824096
sh.600022,2026-07-07,1.28,1.3,1.25,1.27,110223071,140270968.19,1.0302,-618.908136
sh.600023,2026-07-07,5.4,5.4,5.29,5.31,28709967,152895590.79,0.2141,9.620594
sh.600025,2026-07-07,9.19,9.32,9.09,9.25,27114477,249281841.98,0.1455,20.182005
sh.600026,2026-07-07,17.31,17.56,16.34,16.41,75563448,1261776609.04,1.974,16.317863
sh.600027,2026-07-07,4.54,4.54,4.44,4.45,61361530,274142087.5,0.6658,8.798123
sh.600028,2026-07-07,4.82,4.82,4.69,4.8,246031355,1169359575.3,0.2597,16.327036
sh.600029,2026-07-07,5.2,5.21,5.1,5.12,116541705,599175258.6,0.8647,30.074348
