concept_code,concept_name,trade_date,open,high,low,close,volume,amount
300008,新能源汽车,2015-04-01,1949.157,2039.764,1949.088,2034.028,1998919700,38121333000.0
300008,新能源汽车,2015-04-02,2054.017,2082.283,2048.301,2082.178,2082806500,41866525000.0
300008,新能源汽车,2015-04-03,2068.428,2128.273,2056.581,2125.688,1989834700,40619628000.0
300008,新能源汽车,2015-04-07,2144.379,2164.206,2134.19,2164.06,2000752700,42132758000.0
300008,新能源汽车,2015-04-08,2167.007,2167.567,2082.161,2125.256,2013244300,42935341000.0
300008,新能源汽车,2015-04-09,2120.016,2122.104,2004.666,2082.127,1736803500,36549558000.0
300008,新能源汽车,2015-04-10,2080.148,2128.211,2067.76,2125.192,1476769200,31608297000.0
300008,新能源汽车,2015-04-13,2139.891,2169.643,2122.252,2164.083,1784053100,38256710000.0
300008,新能源汽车,2015-04-14,2172.739,2184.872,2149.502,2163.302,1761799700,36843121000.0
300008,新能源汽车,2015-04-15,2172.687,2172.687,2093.343,2093.343,1792509000,35203404000.0
300008,新能源汽车,2015-04-16,2075.313,2143.785,2049.889,2131.63,2327001200,42002744000.0
300008,新能源汽车,2015-04-17,2153.118,2172.371,2144.522,2158.137,2635877500,51560699000.0
300008,新能源汽车,2015-04-20,2147.972,2159.285,2094.123,2102.686,2949859600,55876171000.0
300008,新能源汽车,2015-04-21,2102.479,2184.863,2101.789,2184.863,2047729900,41617689000.0
300008,新能源汽车,2015-04-22,2204.49,2252.448,2204.381,2250.554,2302206800,50911591000.0
300008,新能源汽车,2015-04-23,2263.54,2316.41,2261.88,2301.209,2784270600,60868674000.0
300008,新能源汽车,2015-04-24,2273.939,2297.143,2242.643,2290.891,2119851200,45478784000.0
300008,新能源汽车,2015-04-27,2311.989,2328.062,2273.967,2294.253,2260533600,49718711000.0
300008,新能源汽车,2015-04-28,2294.435,2294.981,2181.47,2205.469,2178455500,47441729000.0
300008,新能源汽车,2015-04-29,2195.722,2270.652,2184.989,2266.031,1903710400,42789043000.0
300008,新能源汽车,2015-04-30,2278.476,2291.748,2255.707,2255.707,1780273400,43349182000.0
300013,大飞机,2015-04-01,2209.791,2257.266,2207.409,2256.33,761605160,18557211000.0
300013,大飞机,2015-04-02,2266.83,2273.078,2239.147,2272.818,772410220,17494332000.0
300013,大飞机,2015-04-03,2260.142,2332.872,2252.887,2331.561,905279870,22128280000.0
300013,大飞机,2015-04-07,2341.245,2350.661,2321.607,2350.661,770163630,18281559000.0
300013,大飞机,2015-04-08,2360.76,2361.804,2250.104,2285.364,874153420,21059294000.0
300013,大飞机,2015-04-09,2283.84,2283.84,2153.743,2218.242,696070900,15925997000.0
300013,大飞机,2015-04-10,2205.014,2283.556,2195.155,2275.669,611915470,14293669000.0
300013,大飞机,2015-04-13,2293.705,2330.79,2269.684,2318.738,710090610,16323495000.0
300013,大飞机,2015-04-14,2314.529,2345.017,2291.943,2326.638,815483720,17911457000.0
300013,大飞机,2015-04-15,2325.832,2332.991,2236.793,2236.793,736757590,16083440000.0
300013,大飞机,2015-04-16,2211.111,2295.446,2176.896,2274.072,656374060,15043501000.0
300013,大飞机,2015-04-17,2296.981,2371.941,2296.307,2336.229,1085520290,27201138000.0
300013,大飞机,2015-04-20,2316.933,2427.428,2275.573,2368.59,1284628890,33586315000.0
300013,大飞机,2015-04-21,2381.222,2512.196,2381.047,2458.42,1291037640,36153401000.0
300013,大飞机,2015-04-22,2461.788,2502.216,2448.768,2490.834,975143860,26217940000.0
