concept_code,concept_name,trade_date,open,high,low,close,volume,amount
300008,新能源汽车,2022-11-01,2472.568,2543.42,2472.568,2543.42,7969615300,136054140000.0
300008,新能源汽车,2022-11-02,2545.363,2604.323,2539.871,2594.59,8932078900,145673880000.0
300008,新能源汽车,2022-11-03,2580.434,2620.621,2575.354,2614.304,7996702500,128420872000.0
300008,新能源汽车,2022-11-04,2618.507,2680.49,2618.507,2678.983,9694498500,174812580000.0
300008,新能源汽车,2022-11-07,2682.576,2696.54,2660.354,2686.965,9057884400,149365470000.0
300008,新能源汽车,2022-11-08,2686.973,2686.973,2651.44,2670.896,7107124000,118257938000.0
300008,新能源汽车,2022-11-09,2673.71,2686.046,2659.157,2662.295,6481875400,104917116000.0
300008,新能源汽车,2022-11-10,2650.305,2656.496,2618.081,2626.807,7105434500,116298255000.0
300008,新能源汽车,2022-11-11,2681.714,2693.806,2630.95,2631.369,9665906500,140853830000.0
300008,新能源汽车,2022-11-14,2630.905,2640.508,2587.752,2596.984,7870007500,123079535000.0
300008,新能源汽车,2022-11-15,2594.32,2671.66,2583.965,2671.66,8436680500,131844812000.0
300008,新能源汽车,2022-11-16,2673.215,2682.006,2644.937,2652.791,7679351400,111943199000.0
300008,新能源汽车,2022-11-17,2646.087,2646.087,2614.99,2642.193,7036735300,109445574000.0
300008,新能源汽车,2022-11-18,2643.3,2654.692,2613.542,2615.762,7166347900,112253976000.0
300008,新能源汽车,2022-11-21,2607.05,2649.005,2592.884,2649.005,7128390100,102368659000.0
300008,新能源汽车,2022-11-22,2646.236,2648.546,2594.455,2602.95,7201082000,100529138000.0
300008,新能源汽车,2022-11-23,2600.797,2609.528,2547.911,2600.682,7141163300,105321497000.0
300008,新能源汽车,2022-11-24,2605.125,2625.486,2598.358,2609.774,6687120400,101253140000.0
300008,新能源汽车,2022-11-25,2602.608,2602.608,2561.572,2561.781,5895003800,86652121000.0
300008,新能源汽车,2022-11-28,2531.407,2547.537,2517.554,2545.007,5988696200,87459817000.0
300008,新能源汽车,2022-11-29,2547.355,2578.228,2544.095,2575.948,6921358600,98952333000.0
300008,新能源汽车,2022-11-30,2577.302,2611.854,2564.828,2600.093,9074661900,130746087000.0
300013,大飞机,2022-11-01,2440.603,2466.419,2424.806,2458.828,1393017500,21057093000.0
300013,大飞机,2022-11-02,2454.383,2471.825,2443.932,2461.502,1429273300,22057374000.0
