concept_code,trade_date,open,high,low,close,volume,amount
308614,2026-06-30,1150.559,1154.614,1129.731,1141.69,910717620,12854097100.0
309121,2026-06-30,2609.007,2743.641,2608.573,2741.778,9170232900,193883930000.0
309120,2026-06-30,2298.759,2421.68,2298.759,2420.127,2252020400,126518590000.0
309126,2026-06-30,1062.665,1087.994,1054.494,1086.08,1941356600,27756392000.0
301558,2026-06-30,1815.17,1856.454,1803.064,1855.814,9614888200,292710240000.0
300800,2026-06-30,4739.384,4899.452,4735.631,4897.995,3745843200,108806377000.0
301496,2026-06-30,5669.934,5693.877,5572.757,5620.67,791537820,17584865000.0
309084,2026-06-30,1368.811,1424.927,1368.639,1423.869,2443639800,59362044000.0
301259,2026-06-30,1789.182,1830.321,1777.798,1829.817,7361208200,179352450000.0
305376,2026-06-30,1908.986,1930.25,1893.313,1919.371,534160980,12689203100.0
307550,2026-06-30,1223.216,1233.152,1210.919,1224.348,1229958380,10651019900.0
308972,2026-06-30,2009.621,2070.392,2005.458,2069.595,19038160000,569901890000.0
300018,2026-06-30,1276.975,1285.825,1267.022,1280.415,3170344200,24237965000.0
306912,2026-06-30,2474.401,2558.636,2474.401,2556.801,9342895400,321922980000.0
300100,2026-06-30,1359.997,1367.095,1345.959,1357.137,2993346800,37674172000.0
300157,2026-06-30,1355.676,1357.188,1332.047,1346.584,445845100,7390127800.0
301270,2026-06-30,1370.744,1377.786,1357.69,1368.741,6748310800,66266036000.0
309094,2026-06-30,1521.735,1563.474,1518.505,1563.154,9323210800,170198660000.0
308432,2026-06-30,1944.952,1962.477,1934.973,1961.951,3242762300,96685751000.0
308969,2026-06-30,1553.519,1563.128,1538.616,1558.915,4652152800,33706359000.0
309056,2026-06-30,2801.541,2855.517,2757.22,2854.228,1666072300,53886382000.0
300926,2026-06-30,3723.665,3821.066,3704.508,3821.066,2065952500,88417707000.0
306750,2026-06-30,1367.75,1371.966,1355.377,1362.295,2613437600,41022446000.0
300163,2026-06-30,1107.545,1138.82,1105.253,1138.631,6973622100,169658950000.0
309045,2026-06-30,1802.524,1841.228,1791.555,1841.116,858123860,19121148000.0
300786,2026-06-30,6333.448,6482.32,6304.302,6480.31,15017875000,309290320000.0
308588,2026-06-30,1309.36,1317.609,1289.775,1299.954,1285973230,21471140000.0
308822,2026-06-30,716.635,721.283,705.334,712.231,813157280,16882191000.0
308753,2026-06-30,1565.489,1578.425,1553.783,1578.295,3624090600,44741775000.0
301016,2026-06-30,1709.745,1775.751,1701.538,1775.459,12464994000,331502560000.0
300168,2026-06-30,3310.204,3355.604,3289.577,3354.486,13393138300,322115490000.0
308014,2026-06-30,1182.691,1190.361,1161.637,1172.05,5080404900,102591440000.0
306380,2026-06-30,2532.046,2593.579,2524.258,2592.823,32076741000,687423980000.0
307940,2026-06-30,3422.785,3592.054,3397.652,3589.805,8993851100,726333750000.0
301123,2026-06-30,1428.728,1435.175,1408.676,1417.304,357630630,3202770400.0
300013,2026-06-30,3781.308,3892.174,3768.832,3891.633,4618890200,116909329000.0
308696,2026-06-30,886.395,891.338,868.551,873.284,605428280,7578174900.0
307816,2026-06-30,3900.021,4128.491,3863.208,4117.211,3061368300,272470110000.0
300733,2026-06-30,2040.359,2094.642,2035.61,2093.963,18788058000,591213490000.0
302027,2026-06-30,452.363,460.057,448.555,459.533,1699857500,18117425000.0
308869,2026-06-30,1169.798,1197.34,1159.776,1196.138,569853290,8039273000.0
309115,2026-06-30,2079.763,2138.521,2073.913,2138.003,12852175400,311325370000.0
308700,2026-06-30,3181.353,3324.881,3171.524,3324.016,8551701100,432337010000.0
301623,2026-06-30,1193.469,1205.407,1183.304,1198.965,1990359900,14428992000.0
308477,2026-06-30,1944.612,1998.362,1929.521,1997.988,1614231100,28518338000.0
307822,2026-06-30,882.187,898.773,880.171,898.374,3086697200,84547332000.0
308828,2026-06-30,2246.861,2316.977,2233.409,2316.241,14044489000,477980820000.0
308537,2026-06-30,1344.419,1353.738,1325.71,1333.595,653765800,4956072900.0
308366,2026-06-30,1578.887,1622.172,1570.524,1621.589,6386619400,189080290000.0
309093,2026-06-30,1165.448,1181.293,1153.625,1175.41,3048881100,36023476000.0
308002,2026-06-30,1853.833,1884.686,1843.117,1884.368,3951970400,91273636000.0
309104,2026-06-30,1222.566,1253.433,1214.239,1251.884,4096643900,78168027000.0
301135,2026-06-30,1410.098,1497.85,1409.648,1496.07,6657392400,72232595000.0
308803,2026-06-30,1521.889,1587.439,1517.453,1586.164,634056610,30430333000.0
309058,2026-06-30,1245.879,1269.598,1234.096,1267.141,665149970,11543217800.0
300891,2026-06-30,2056.335,2071.772,2022.407,2041.02,2788805300,31193250000.0
308555,2026-06-30,1623.967,1650.867,1613.305,1649.826,722259850,14894856000.0
308850,2026-06-30,1382.419,1384.762,1371.216,1384.569,3138312500,50872222000.0
308977,2026-06-30,4691.768,4932.876,4658.251,4923.551,1193125820,128288287000.0
308572,2026-06-30,1486.906,1496.656,1460.035,1474.163,3163208400,39578887000.0
301174,2026-06-30,1400.4,1422.397,1388.393,1421.514,2477191900,18344637000.0
309113,2026-06-30,1829.144,1883.708,1828.315,1882.981,3024572500,73220688000.0
300200,2026-06-30,1297.293,1316.51,1289.889,1316.129,15632969000,286071290000.0
308438,2026-06-30,1985.564,1985.564,1929.201,1946.796,63391576,1098453460.0
300085,2026-06-30,6119.309,6257.296,6068.897,6252.84,3770462300,122747436000.0
301236,2026-06-30,1522.033,1538.979,1512.573,1536.886,3245222800,72782272000.0
307954,2026-06-30,4181.732,4381.289,4179.151,4379.937,3051029100,168886460000.0
308708,2026-06-30,1170.075,1173.333,1149.045,1162.804,1402273600,25686334000.0
308991,2026-06-30,1263.359,1320.791,1262.805,1319.736,8706821900,161868070000.0
308915,2026-06-30,1012.732,1015.86,989.852,999.861,2343677800,29567615000.0
300890,2026-06-30,3354.753,3447.172,3346.688,3446.287,9457848000,267220460000.0
309124,2026-06-30,1385.804,1386.131,1362.845,1369.203,9490939300,103632450000.0
301518,2026-06-30,3581.426,3656.919,3559.917,3655.946,4314128300,74290803000.0
308806,2026-06-30,1991.332,2055.064,1983.299,2053.387,2645975200,115919833000.0
309023,2026-06-30,1043.187,1043.187,1022.254,1033.375,188669860,2614359100.0
309049,2026-06-30,6999.131,7357.613,6964.498,7347.961,13997742000,700551420000.0
308732,2026-06-30,1428.507,1441.784,1417.822,1440.092,3552861900,69939784000.0
301477,2026-06-30,1332.949,1340.804,1315.724,1325.168,640536000,6446791000.0
301780,2026-06-30,2616.816,2680.154,2605.506,2679.298,18956895000,382153680000.0
300941,2026-06-30,2056.98,2131.706,2049.832,2131.216,2666628100,103473278000.0
302154,2026-06-30,1067.578,1082.12,1060.787,1081.916,10926355500,230269880000.0
301630,2026-06-30,1223.137,1237.93,1213.7,1234.776,785403730,8063035000.0
301079,2026-06-30,4637.651,4758.721,4613.762,4757.874,25285042000,656967830000.0
309085,2026-06-30,3327.812,3485.149,3314.789,3483.384,1241003200,99142719000.0
308582,2026-06-30,6166.276,6449.254,6163.743,6446.244,2225363300,117596444000.0
300223,2026-06-30,972.305,985.554,961.839,985.477,1799574200,12452820200.0
300221,2026-06-30,2083.436,2098.038,2063.225,2097.916,3368423900,34441366000.0
308829,2026-06-30,1226.219,1255.943,1219.754,1255.479,4656768300,76050007000.0
308531,2026-06-30,1640.571,1689.868,1635.38,1686.487,2169842300,87880402000.0
300082,2026-06-30,2410.833,2479.352,2397.626,2478.542,16436553000,428716280000.0
309034,2026-06-30,1334.301,1345.284,1326.049,1341.938,52272076000,825543400000.0
308874,2026-06-30,1336.28,1365.587,1329.116,1359.395,1610498600,33033873000.0
308294,2026-06-30,1595.152,1641.623,1595.152,1641.109,9241022500,325628780000.0
302174,2026-06-30,2715.116,2776.417,2692.455,2773.591,2057396900,47253844000.0
302166,2026-06-30,999.199,1008.096,991.644,1005.541,149769760,1414726600.0
301669,2026-06-30,987.721,992.978,978.463,985.782,349077750,2634854400.0
300105,2026-06-30,3615.222,3683.371,3594.694,3682.088,7883870500,193366440000.0
308428,2026-06-30,1386.228,1402.142,1381.327,1400.523,1321004960,15758827000.0
300066,2026-06-30,1844.901,1875.474,1833.588,1875.351,8765658100,285951910000.0
301470,2026-06-30,3354.857,3449.863,3339.555,3447.931,2482081000,78069558000.0
300236,2026-06-30,1966.33,2025.526,1959.269,2019.476,1131660700,33386771000.0
300973,2026-06-30,1534.761,1536.776,1516.012,1527.4,2410050300,21793185000.0
309051,2026-06-30,2172.634,2260.602,2168.742,2259.531,4432884200,195602150000.0
309129,2026-06-30,1442.954,1448.742,1420.846,1434.92,2829769300,52618542000.0
300238,2026-06-30,4085.143,4156.717,4055.402,4155.297,12010792200,217732350000.0
308547,2026-06-30,1576.37,1593.427,1564.038,1586.725,994600710,6948374100.0
300087,2026-06-30,1792.48,1818.798,1781.676,1811.631,1011525920,14671187000.0
301424,2026-06-30,1607.28,1645.32,1601.249,1643.575,1373443600,26905097000.0
