code,trade_date,open,high,low,close,volume,amount,turn,pe_ttm
sh.600036,2026-06-29,35.9,36.72,35.4,36.42,108073461,3911537693.99,0.5239,6.093035
sh.600036,2026-06-30,36.37,36.39,35.35,35.5,109903751,3919806245.34,0.5328,5.93912
sh.600037,2026-06-29,6.27,6.33,6.1,6.21,15459322,96093929.1,1.1108,127.968278
sh.600037,2026-06-30,6.2,6.29,6.13,6.27,10724042,66672132.22,0.7705,129.204687
sh.600038,2026-06-29,24.88,25.22,24.36,25.01,6662810,165413756.88,0.996,42.041527
sh.600038,2026-06-30,24.9,25.33,24.88,25.29,6009475,151110146.54,0.8984,42.512203
sh.600039,2026-06-29,7.93,8.04,7.75,7.94,15782288,124949152.54,0.1815,9.837926
sh.600039,2026-06-30,7.93,7.94,7.68,7.82,18261327,142308070.44,0.21,9.689242
sh.600048,2026-06-29,4.75,4.77,4.58,4.72,194296005,911237145.04,1.6231,-309.98698
sh.600048,2026-06-30,4.68,4.71,4.58,4.63,120529986,556853121.68,1.0069,-304.076211
sh.600050,2026-06-29,4.03,4.06,3.93,4.02,157732323,631595990.97,0.509,14.516514
sh.600050,2026-06-30,4.01,4.04,3.96,4.0,131088387,522979199.08,0.423,14.444293
sh.600051,2026-06-29,5.73,5.78,5.52,5.74,5565801,31546252.56,1.7903,23.535406
sh.600051,2026-06-30,5.73,5.78,5.58,5.63,4722600,26703236.0,1.5191,23.084379
sh.600052,2026-06-29,3.52,3.54,3.37,3.46,16536248,56792217.64,1.9588,-6.075136
sh.600052,2026-06-30,3.53,3.71,3.44,3.54,20817600,73940189.0,2.466,-6.215602
sh.600054,2026-06-29,10.75,10.99,10.55,10.9,7256016,78342152.75,1.4136,27.39452
sh.600054,2026-06-30,10.86,10.93,10.68,10.77,4454765,47982612.1,0.8679,27.067796
sh.600055,2026-06-29,10.14,10.48,9.83,10.33,9220319,94524275.83,1.3115,-26.045244
sh.600055,2026-06-30,10.23,10.38,10.09,10.22,6796788,69454522.52,0.9667,-25.767899
sh.600056,2026-06-29,8.55,9.08,8.3,8.96,23202861,203174638.46,1.5517,27.757876
sh.600056,2026-06-30,8.85,8.92,8.68,8.75,13822225,121205658.08,0.9243,27.107301
sh.600057,2026-06-29,5.5,5.58,5.34,5.54,16802130,92422144.24,0.803,12.049453
sh.600057,2026-06-30,5.56,5.56,5.36,5.42,14961874,80998294.98,0.715,11.788454
sh.600058,2026-06-29,11.84,12.45,11.21,11.28,32390337,375456684.51,3.0217,-389.912726
sh.600058,2026-06-30,11.51,11.94,11.08,11.55,27019104,310288444.21,2.5206,-399.245744
sh.600059,2026-06-29,7.39,7.52,7.21,7.47,8192300,60659543.88,0.8987,30.221367
sh.600059,2026-06-30,7.45,7.48,7.3,7.32,6338648,46663227.44,0.6954,29.614512
sh.600060,2026-06-29,25.43,27.28,25.27,26.92,24966930,666362456.27,1.9203,14.101776
sh.600060,2026-06-30,26.91,28.6,26.7,27.87,25648718,713483025.63,1.9727,14.599424
