日期,证券名称,证券代码,操作类型,成交价,成交量,发生金额,交易费用
2026-06-22,奔朗新材,920807,卖出,13.900,792,10999.60,9.20
2026-06-22,招商证券,600999,买入,19.590,3600,-70532.85,8.85
2026-06-22,章源钨业,002378,买入,38.200,2000,-76409.58,9.58
2026-06-22,伊戈尔,002922,卖出,36.000,2000,71954.97,45.03
2026-06-22,晓鸣股份,300967,卖出,15.800,3000,47379.82,29.82
2026-06-22,金凯生科,301509,卖出,26.300,3000,78649.73,49.27
2026-06-22,华泰紫金天天发货币,,赎回,,,99990.00,0.00
2026-06-22,新安股份,600596,买入,15.600,5000,-78309.83,9.83
2026-06-18,奔朗新材,920807,买入,12.620,6000,-75745.37,25.37
2026-06-18,伊戈尔,002922,卖出,36.290,3000,108801.92,68.08
2026-06-18,晓鸣股份,300967,卖出,16.300,9000,146608.22,91.78
2026-06-18,晓鸣股份,300967,卖出,16.300,2000,32578.37,21.63
2026-06-18,晓鸣股份,300967,买入,16.390,3000,-49176.17,6.17
2026-06-18,奔朗新材,920807,买入,12.720,2000,-25448.52,8.52
2026-06-18,伊戈尔,002922,买入,36.900,1000,-36905.38,5.38
2026-06-18,奔朗新材,920807,买入,13.000,4000,-52017.42,17.42
2026-06-18,伊戈尔,002922,买入,37.360,1000,-37365.37,5.37
2026-06-18,智谱,02513.HK,卖出,1794.0000,100,154537.48,195.02
2026-06-18,智谱,02513.HK,买入,1669.0000,100,-144184.11,181.11
2026-06-17,晓鸣股份,300967,买入,17.830,3000,-53496.71,6.71
2026-06-17,晓鸣股份,300967,买入,18.260,2000,-36525.37,5.37
2026-06-16,金凯生科,301509,买入,27.520,1000,-27525.28,5.28
2026-06-16,晓鸣股份,300967,卖出,18.560,3000,55645.15,34.85
2026-06-16,伊戈尔,002922,买入,37.653,1500,-56486.10,7.10
2026-06-16,中国国航,601111,卖出,6.390,13700,87488.23,54.77
2026-06-16,伊戈尔,002922,买入,37.497,1500,-56252.05,7.05
2026-06-16,博瑞医药,688166,卖出,41.160,1000,41134.02,25.98
2026-06-16,中国国航,601111,卖出,6.480,6300,40798.18,25.82
2026-06-16,晓鸣股份,300967,买入,18.000,2000,-36005.37,5.37
2026-06-15,横店影视,603103,卖出,16.960,6500,110171.06,68.94
2026-06-15,金凯生科,301509,买入,27.140,2000,-54286.80,6.80
2026-06-15,博瑞医药,688166,买入,42.500,1000,-42505.43,5.43
2026-06-15,晓鸣股份,300967,买入,18.750,2000,-37505.38,5.38
2026-06-12,晓鸣股份,300967,卖出,18.790,2500,46945.62,29.38
2026-06-12,中国国航,601111,卖出,6.300,7600,47850.05,29.95
2026-06-12,横店影视,603103,卖出,19.490,2000,38955.11,24.89
2026-06-12,横店影视,603103,买入,18.880,3000,-56647.11,7.11
2026-06-12,横店影视,603103,买入,19.530,1500,-29300.30,5.30
2026-06-11,晓鸣股份,300967,买入,18.660,1500,-27995.28,5.28
2026-06-11,明阳智能,601615,卖出,19.780,5400,104765.43,65.57
2026-06-11,中国国航,601111,买入,5.960,4000,-23845.24,5.24
2026-06-11,中国国航,601111,买入,6.030,4000,-24125.24,5.24
2026-06-11,横店影视,603103,买入,22.110,1000,-22115.22,5.22
2026-06-09,横店影视,603103,卖出,23.410,3000,70186.08,43.92
2026-06-09,横店影视,603103,卖出,23.440,4500,105414.04,65.96
2026-06-09,晓鸣股份,300967,买入,17.200,3000,-51606.47,6.47
2026-06-09,晓鸣股份,300967,买入,17.100,3000,-51306.43,6.43
2026-06-09,晓鸣股份,300967,卖出,18.626,7000,130300.46,81.54
2026-06-08,横店影视,603103,买入,21.360,1000,-21365.21,5.21
2026-06-08,中国国航,601111,买入,6.160,4000,-24645.25,5.25
2026-06-08,横店影视,603103,买入,22.180,1000,-22185.22,5.22
2026-06-08,横店影视,603103,买入,22.600,2000,-45205.67,5.67
2026-06-08,横店影视,603103,买入,22.560,1500,-34445.34,5.34
2026-06-08,中国国航,601111,买入,6.300,4000,-25285.26,5.26
2026-06-08,明阳智能,601615,买入,13.780,2000,-27565.28,5.28
2026-06-08,晓鸣股份,300967,卖出,18.890,3000,56634.55,35.45
2026-06-08,晓鸣股份,300967,卖出,17.891,2000,35757.74,23.26
2026-06-05,晓鸣股份,300967,卖出,17.891,2000,35757.74,23.26
2026-06-05,横店影视,603103,卖出,23.040,3600,82892.12,51.88
2026-06-05,晓鸣股份,300967,买入,17.480,2000,-34965.35,5.35
2026-06-05,晓鸣股份,300967,买入,18.460,2000,-36925.37,5.37
2026-06-05,明阳智能,601615,买入,14.200,2500,-35505.35,5.35
2026-06-04,新农开发,600359,卖出,6.510,7500,48794.47,30.53
2026-06-04,明阳智能,601615,买入,14.490,1500,-21740.22,5.22
2026-06-04,中国国航,601111,买入,6.520,5000,-32605.33,5.33
2026-06-04,中国国航,601111,买入,6.500,6600,-42905.43,5.43
2026-06-04,明阳智能,601615,买入,14.766,2900,-42825.43,5.43
2026-06-04,横店影视,603103,买入,21.280,1000,-21285.21,5.21
2026-06-03,晓鸣股份,300967,卖出,19.280,5000,96339.72,60.28
2026-06-03,品渥食品,300892,卖出,23.380,4500,105144.20,65.80
2026-06-03,晓鸣股份,300967,买入,19.500,3000,-58507.33,7.33
2026-06-02,晓鸣股份,300967,卖出,20.530,3000,61551.47,38.53
2026-06-02,好想你,002582,卖出,10.070,5000,50318.51,31.49
2026-06-02,晓鸣股份,300967,买入,20.149,3000,-60454.58,7.58
2026-06-02,横店影视,603103,买入,21.380,2000,-42765.43,5.43
2026-06-02,横店影视,603103,买入,21.800,1000,-21805.22,5.22
2026-06-01,晓鸣股份,300967,卖出,21.060,3000,63140.49,38.51
2026-06-01,晓鸣股份,300967,卖出,20.370,3000,61071.78,38.22
2026-06-01,好想你,002582,买入,10.330,5000,-51656.48,6.48
2026-06-01,新农开发,600359,买入,6.710,7500,-50331.32,6.32
2026-06-01,横店影视,603103,买入,22.850,100,-2290.02,5.02
2026-06-01,横店影视,603103,买入,23.080,1000,-23085.23,5.23
2026-06-01,融创中国,01918.HK,卖出,0.9600,60000,48692.58,62.90
