code,trade_date,open,high,low,close,volume,amount,turn,pe_ttm
sh.600000,2026-06-24,9.26,9.27,8.9,8.9,107526621,969684287.72,0.3228,5.895425
sh.600004,2026-06-24,7.55,7.61,7.48,7.48,10979454,82552636.84,0.4639,14.384543
sh.600006,2026-06-24,5.6,5.62,5.4,5.43,12352015,67637399.9,0.6176,-25.537012
sh.600007,2026-06-24,19.08,19.56,18.97,19.09,2979600,57257658.0,0.2958,16.07357
sh.600008,2026-06-24,2.99,2.99,2.89,2.91,93135340,271713871.9,1.2688,11.8509
sh.600009,2026-06-24,22.96,23.17,22.46,22.54,11478439,260266861.77,0.5609,25.779965
sh.600010,2026-06-24,2.33,2.35,2.3,2.33,513991001,1193317821.73,1.6412,-786.155449
sh.600011,2026-06-24,7.79,7.82,7.4,7.44,191951137,1446988982.47,1.7454,8.389918
sh.600012,2026-06-24,15.85,16.14,15.5,15.52,5302643,83502109.23,0.4549,14.235813
sh.600015,2026-06-24,6.82,6.85,6.65,6.66,75259111,506074510.48,0.4891,3.907736
sh.600016,2026-06-24,3.48,3.49,3.4,3.41,391019025,1340375241.96,1.1026,5.089417
sh.600017,2026-06-24,2.67,2.67,2.58,2.59,33057200,86572159.0,1.0748,18.164645
sh.600018,2026-06-24,4.95,4.98,4.84,4.85,52292500,255714930.0,0.2249,8.262513
sh.600019,2026-06-24,5.79,5.79,5.62,5.67,106337930,603697714.2,0.4966,12.184636
sh.600020,2026-06-24,3.9,3.92,3.79,3.81,11278652,43261444.94,0.5019,13.384562
sh.600021,2026-06-24,16.2,16.27,15.79,16.05,53469186,853296270.35,1.8948,18.076637
sh.600022,2026-06-24,1.3,1.3,1.27,1.27,60409692,77294662.44,0.5646,-618.908136
sh.600023,2026-06-24,5.5,5.53,5.38,5.4,48868175,265402891.75,0.3645,9.783655
sh.600025,2026-06-24,9.39,9.39,9.13,9.14,32086317,295160330.64,0.1722,19.942003
sh.600026,2026-06-24,21.41,22.83,21.22,22.83,126401684,2856787167.86,3.3023,22.700684
sh.600027,2026-06-24,4.77,4.78,4.65,4.68,84290538,394939267.95,0.9146,9.252857
sh.600028,2026-06-24,4.74,4.75,4.65,4.66,248041548,1161765958.59,0.2618,15.850831
sh.600029,2026-06-24,5.16,5.4,5.13,5.25,118815711,626610545.15,0.8816,30.837954
sh.600030,2026-06-24,28.18,28.8,27.7,27.89,276274967,7747666977.22,2.2689,12.271184
sh.600031,2026-06-24,18.15,18.18,17.53,17.62,93843325,1665451223.35,1.1074,19.243176
