趋势跟随策略 交易流水 — 共 388 笔
============================================================================================================================================
买入日        卖出日        代码           名称           买价     卖价     盈亏%   持有天  买入理由  卖出理由
--------------------------------------------------------------------------------------------------------------------------------------------
2022-10-14 2022-11-03 sz.000725    京东方A       3.55   3.47   -2.25      趋势跟随(5日7.4% 20日-3.6% | 量比1.3x 涨跌量比1.8x | 连涨2天 | 市态NEUTRAL)  持仓14天到期(市态NEUTRAL)
2022-10-20 2022-11-09 sh.688777    中控技术      84.63  92.62    9.44      趋势跟随(5日4.6% 20日2.3% | 量比1.4x 涨跌量比1.1x | 连涨1天 | 市态NEUTRAL)  持仓14天到期(市态NEUTRAL)
2022-10-20 2022-11-09 sz.002025    航天电器      77.10  73.90   -4.15      趋势跟随(5日7.3% 20日0.8% | 量比1.3x 涨跌量比1.5x | 连涨1天 | 市态NEUTRAL)  持仓14天到期(市态NEUTRAL)
2022-10-21 2022-11-10 sh.688301    奕瑞科技     503.66 455.07   -9.65      趋势跟随(5日2.0% 20日0.2% | 量比1.5x 涨跌量比1.5x | 连涨1天 | 市态NEUTRAL)  持仓14天到期(市态NEUTRAL)
2022-10-27 2022-11-16 sh.600893    航发动力      47.81  44.50   -6.92      趋势跟随(5日4.9% 20日7.8% | 量比1.4x 涨跌量比1.6x | 连涨1天 | 市态NEUTRAL)  持仓14天到期(市态NEUTRAL)
2022-11-03 2022-11-18 sz.002756    永兴材料     138.50 121.83  -12.04      趋势跟随(5日1.5% 20日2.5% | 量比1.4x 涨跌量比1.2x | 连涨3天 | 市态NEUTRAL)  止损(-12.0%)
2022-11-09 2022-11-29 sh.600855    航天长峰      11.87  11.87    0.00      趋势跟随(5日3.8% 20日21.7% | 量比1.6x 涨跌量比1.3x | 连涨1天 | 市态NEUTRAL)  持仓14天到期(市态NEUTRAL)
2022-11-09 2022-11-29 sz.002237    恒邦股份      11.68  10.81   -7.45      趋势跟随(5日12.6% 20日17.1% | 量比1.7x 涨跌量比1.2x | 连涨6天 | 市态NEUTRAL)  持仓14天到期(市态NEUTRAL)
2022-11-10 2022-11-30 sz.000629    钒钛股份       5.25   5.41    3.05      趋势跟随(5日12.2% 20日9.3% | 量比1.4x 涨跌量比1.4x | 连涨1天 | 市态NEUTRAL)  持仓14天到期(市态NEUTRAL)
2022-11-16 2022-12-06 sh.601318    中国平安      42.30  47.44   12.15      趋势跟随(5日9.8% 20日1.8% | 量比1.3x 涨跌量比2.2x | 连涨4天 | 市态NEUTRAL)  持仓14天到期(市态NEUTRAL)
2022-11-18 2022-12-08 sz.002415    海康威视      32.44  33.70    3.88      趋势跟随(5日10.1% 20日3.7% | 量比1.3x 涨跌量比1.8x | 连涨1天 | 市态NEUTRAL)  持仓14天到期(市态NEUTRAL)
2022-11-29 2022-12-19 sh.600021    上海电力      10.28   9.34   -9.14      趋势跟随(5日4.7% 20日12.9% | 量比1.3x 涨跌量比1.2x | 连涨1天 | 市态NEUTRAL)  持仓14天到期(市态NEUTRAL)
2022-11-29 2022-12-19 sz.002407    多氟多       38.26  35.57   -7.03      趋势跟随(5日13.3% 20日22.7% | 量比1.6x 涨跌量比1.5x | 连涨1天 | 市态NEUTRAL)  持仓14天到期(市态NEUTRAL)
2022-11-30 2022-12-20 sh.601398    工商银行       4.30   4.23   -1.63      趋势跟随(5日2.1% 20日5.9% | 量比1.3x 涨跌量比1.6x | 连涨1天 | 市态NEUTRAL)  持仓14天到期(市态NEUTRAL)
2022-12-06 2022-12-26 sz.002594    比亚迪      267.60 262.42   -1.94      趋势跟随(5日7.4% 20日-5.6% | 量比1.3x 涨跌量比1.6x | 连涨1天 | 市态NEUTRAL)  持仓14天到期(市态NEUTRAL)
2022-12-08 2022-12-28 sh.600029    南方航空       7.50   7.55    0.67      趋势跟随(5日1.6% 20日2.2% | 量比1.3x 涨跌量比1.8x | 连涨1天 | 市态NEUTRAL)  持仓14天到期(市态NEUTRAL)
2022-12-19 2023-01-09 sz.300702    天宇股份      24.22  23.53   -2.85      趋势跟随(5日10.7% 20日1.9% | 量比1.6x 涨跌量比2.1x | 连涨1天 | 市态NEUTRAL)  持仓14天到期(市态NEUTRAL)
2022-12-19 2023-01-09 sz.301258    富士莱       43.99  40.81   -7.23      趋势跟随(5日5.2% 20日-1.4% | 量比1.4x 涨跌量比1.4x | 连涨2天 | 市态NEUTRAL)  持仓14天到期(市态NEUTRAL)
2022-12-20 2022-12-28 sz.000868    安凯客车       7.16   6.28  -12.29      趋势跟随(5日9.0% 20日5.5% | 量比1.5x 涨跌量比1.9x | 连涨1天 | 市态NEUTRAL)  止损(-12.3%)
2022-12-26 2023-01-16 sz.002623    亚玛顿       32.82  30.58   -6.83      趋势跟随(5日7.4% 20日7.4% | 量比1.6x 涨跌量比1.2x | 连涨1天 | 市态NEUTRAL)  持仓14天到期(市态NEUTRAL)
2022-12-28 2023-01-18 sz.002518    科士达       57.30  58.40    1.92      趋势跟随(5日13.6% 20日12.3% | 量比1.3x 涨跌量比1.8x | 连涨2天 | 市态NEUTRAL)  持仓14天到期(市态NEUTRAL)
2022-12-28 2023-01-18 sz.300595    欧普康视      35.70  37.55    5.18      趋势跟随(5日14.3% 20日14.6% | 量比1.4x 涨跌量比1.7x | 连涨1天 | 市态NEUTRAL)  持仓14天到期(市态NEUTRAL)
2023-01-09 2023-02-03 sh.600438    通威股份      40.09  40.98    2.22      趋势跟随(5日4.1% 20日-4.2% | 量比1.3x 涨跌量比1.6x | 连涨2天 | 市态NEUTRAL)  持仓14天到期(市态NEUTRAL)
2023-01-09 2023-02-03 sh.601318    中国平安      50.91  49.60   -2.57      趋势跟随(5日8.6% 20日5.5% | 量比1.4x 涨跌量比1.6x | 连涨5天 | 市态NEUTRAL)  持仓14天到期(市态NEUTRAL)
2023-01-16 2023-01-20 sh.600095    湘财股份       9.91   9.20   -7.16      趋势跟随(5日6.9% 20日10.8% | 量比1.5x 涨跌量比1.6x | 连涨2天 | 市态NEUTRAL)  单日暴跌(-9.9%)
2023-01-18 2023-02-14 sh.601688    华泰证券      12.86  12.67   -1.48      趋势跟随(5日6.8% 20日1.6% | 量比1.4x 涨跌量比1.7x | 连涨4天 | 市态NEUTRAL)  持仓14天到期(市态NEUTRAL)
2023-01-18 2023-02-14 sz.000100    TCL科技      4.04   4.20    3.96      趋势跟随(5日3.9% 20日5.2% | 量比1.4x 涨跌量比1.3x | 连涨2天 | 市态NEUTRAL)  持仓14天到期(市态NEUTRAL)
2023-01-20 2023-02-13 sz.000977    浪潮信息      23.86  32.66   36.88      趋势跟随(5日5.2% 20日11.7% | 量比1.3x 涨跌量比1.3x | 连涨2天 | 市态NEUTRAL)  止盈(36.9%)
2023-02-03 2023-02-23 sh.600309    万华化学      99.98 102.69    2.71      趋势跟随(5日4.4% 20日7.7% | 量比1.4x 涨跌量比1.3x | 连涨2天 | 市态NEUTRAL)  持仓14天到期(市态NEUTRAL)
2023-02-03 2023-02-23 sz.002371    北方华创     252.81 240.10   -5.03      趋势跟随(5日4.0% 20日13.7% | 量比1.3x 涨跌量比1.1x | 连涨2天 | 市态NEUTRAL)  持仓14天到期(市态NEUTRAL)
2023-02-13 2023-03-03 sz.000063    中兴通讯      28.16  31.98   13.57      趋势跟随(5日4.0% 20日8.5% | 量比1.3x 涨跌量比1.5x | 连涨2天 | 市态NEUTRAL)  持仓14天到期(市态NEUTRAL)
2023-02-14 2023-03-06 sh.600031    三一重工      18.34  18.54    1.09      趋势跟随(5日10.3% 20日7.3% | 量比1.4x 涨跌量比2.0x | 连涨1天 | 市态NEUTRAL)  持仓14天到期(市态NEUTRAL)
2023-02-14 2023-03-06 sz.000516    国际医学      12.52  12.10   -3.35      趋势跟随(5日11.3% 20日3.2% | 量比1.4x 涨跌量比1.3x | 连涨5天 | 市态NEUTRAL)  持仓14天到期(市态NEUTRAL)
2023-02-23 2023-03-15 sh.600415    小商品城       5.32   5.11   -3.95      趋势跟随(5日7.6% 20日8.5% | 量比1.9x 涨跌量比1.1x | 连涨1天 | 市态NEUTRAL)  持仓14天到期(市态NEUTRAL)
2023-02-23 2023-03-15 sh.601225    陕西煤业      19.76  19.44   -1.62      趋势跟随(5日5.7% 20日-1.3% | 量比1.4x 涨跌量比1.2x | 连涨4天 | 市态NEUTRAL)  持仓14天到期(市态NEUTRAL)
2023-03-03 2023-03-23 sh.600487    亨通光电      15.55  15.56    0.06      趋势跟随(5日4.6% 20日2.4% | 量比1.3x 涨跌量比1.8x | 连涨2天 | 市态NEUTRAL)  持仓14天到期(市态NEUTRAL)
2023-03-06 2023-03-24 sh.601390    中国中铁       6.58   7.35   11.70      趋势跟随(5日10.4% 20日16.2% | 量比1.4x 涨跌量比3.0x | 连涨4天 | 市态NEUTRAL)  持仓14天到期(市态NEUTRAL)
2023-03-06 2023-03-24 sh.601919    中远海控      11.26  11.35    0.80      趋势跟随(5日5.2% 20日5.9% | 量比1.4x 涨跌量比1.9x | 连涨4天 | 市态NEUTRAL)  持仓14天到期(市态NEUTRAL)
2023-03-15 2023-04-04 sh.688981    中芯国际      48.88  56.66   15.92      趋势跟随(5日12.4% 20日11.6% | 量比2.0x 涨跌量比1.8x | 连涨2天 | 市态NEUTRAL)  持仓14天到期(市态NEUTRAL)
