concept_code,concept_name,trade_date,open,high,low,close,volume,amount
300008,新能源汽车,2018-03-01,1791.083,1825.951,1787.53,1825.951,2019711700,27132662000.0
300008,新能源汽车,2018-03-02,1812.687,1839.235,1810.703,1823.976,2376433500,29487979000.0
300008,新能源汽车,2018-03-05,1824.401,1838.112,1822.339,1838.112,1905653900,24851099000.0
300008,新能源汽车,2018-03-06,1841.093,1858.561,1841.093,1857.695,2184710500,30436437000.0
300008,新能源汽车,2018-03-07,1854.533,1854.533,1840.381,1841.203,1890350000,25995386000.0
300008,新能源汽车,2018-03-08,1837.323,1849.446,1836.85,1849.446,1619391500,22182338000.0
300008,新能源汽车,2018-03-09,1852.034,1887.577,1852.034,1886.882,2284700200,31199184000.0
300008,新能源汽车,2018-03-12,1894.213,1923.362,1894.213,1923.362,2961622100,42123475000.0
300008,新能源汽车,2018-03-13,1920.027,1938.597,1909.925,1920.983,2711845400,35145869000.0
300008,新能源汽车,2018-03-14,1915.62,1930.214,1901.848,1902.494,2535716000,33209786000.0
300008,新能源汽车,2018-03-15,1895.764,1905.292,1872.264,1897.264,2616543800,32813951000.0
300008,新能源汽车,2018-03-16,1894.846,1912.748,1894.392,1901.168,2280168500,28629863000.0
300008,新能源汽车,2018-03-19,1899.017,1916.449,1892.313,1907.101,2104762900,27098855000.0
300008,新能源汽车,2018-03-20,1891.902,1898.852,1876.592,1897.419,2097046300,26546183000.0
300008,新能源汽车,2018-03-21,1897.158,1914.804,1882.018,1882.674,2142324300,29437924000.0
300008,新能源汽车,2018-03-22,1881.159,1892.689,1867.381,1877.697,1843580900,24036280000.0
300008,新能源汽车,2018-03-23,1816.679,1827.749,1740.035,1757.994,3493700300,41451724000.0
300008,新能源汽车,2018-03-26,1730.047,1790.456,1706.189,1790.456,2334795600,29386685000.0
300008,新能源汽车,2018-03-27,1809.53,1845.165,1809.475,1841.991,2447111700,32592499000.0
300008,新能源汽车,2018-03-28,1815.49,1836.137,1809.722,1822.314,2089490500,28961241000.0
300008,新能源汽车,2018-03-29,1828.202,1842.501,1826.78,1841.495,1871563000,25391611000.0
300008,新能源汽车,2018-03-30,1845.597,1869.165,1845.522,1868.821,2072569700,29113848000.0
300013,大飞机,2018-03-01,1436.118,1469.791,1431.231,1469.747,428002450,4594498000.0
300013,大飞机,2018-03-02,1456.964,1474.187,1453.66,1460.223,352228100,3841758400.0
300013,大飞机,2018-03-05,1472.824,1479.839,1460.339,1472.833,384407610,4527530200.0
300013,大飞机,2018-03-06,1472.277,1494.505,1466.816,1490.643,446981170,4952421800.0
300013,大飞机,2018-03-07,1486.73,1486.73,1468.721,1470.385,326031790,3386963400.0
300013,大飞机,2018-03-08,1467.048,1478.417,1466.089,1478.417,276170010,3041376900.0
