concept_code,trade_date,open,high,low,close,volume,amount
308725,2026-07-06,1610.512,1617.262,1535.7,1582.403,5060583700,298787380000.0
300220,2026-07-06,1807.554,1810.492,1780.908,1790.615,4479215500,53249753000.0
301794,2026-07-06,1872.502,1941.969,1863.528,1930.053,266478510,5023408200.0
308491,2026-07-06,2762.543,2780.322,2719.841,2721.346,12668360000,250524080000.0
300075,2026-07-06,2053.902,2091.211,2048.175,2073.976,490817810,6620741900.0
302045,2026-07-06,1419.613,1426.674,1390.974,1392.65,7479558500,132175947000.0
301292,2026-07-06,1538.34,1552.38,1513.08,1520.899,634510650,10810025700.0
300316,2026-07-06,2128.582,2148.653,2099.534,2113.099,4913552300,113949614000.0
302035,2026-07-06,1298.161,1304.805,1272.528,1280.694,18971569000,406962140000.0
309119,2026-07-06,2736.761,2743.54,2650.217,2658.358,13121247000,490535510000.0
308517,2026-07-06,1464.81,1479.387,1456.503,1463.277,296266810,3689985200.0
301166,2026-07-06,1325.73,1327.73,1288.548,1294.73,1824817700,51056488000.0
300900,2026-07-06,1850.014,1856.139,1821.116,1824.179,109833972000,2793017000000.0
308467,2026-07-06,3846.425,3852.419,3664.504,3708.306,9734781500,147933880000.0
308810,2026-07-06,1633.834,1647.144,1598.792,1601.822,2573847000,70392516000.0
300983,2026-07-06,1776.605,1804.694,1775.867,1797.195,650104500,6130608000.0
301602,2026-07-06,1013.233,1021.234,1003.17,1003.447,89464098,613754930.0
301402,2026-07-06,1689.852,1701.824,1682.79,1693.514,1148741360,15824724000.0
301128,2026-07-06,4294.171,4295.831,4223.531,4249.835,1330186370,44759892000.0
309130,2026-07-06,2433.286,2441.899,2337.948,2347.419,14683185000,459884040000.0
301636,2026-07-06,1355.088,1363.175,1334.205,1335.049,63760528000,1530724300000.0
300106,2026-07-06,1576.229,1621.818,1568.344,1593.447,1185748460,20429628000.0
308989,2026-07-06,1042.457,1049.802,1032.45,1035.153,1669439400,12938863900.0
301171,2026-07-06,1686.855,1693.612,1665.345,1679.143,876654970,10263814300.0
300180,2026-07-06,1453.124,1459.029,1408.107,1415.316,1194810720,15678614000.0
307512,2026-07-06,1106.388,1118.975,1088.808,1089.385,770123420,10736661600.0
300337,2026-07-06,1880.41,1893.145,1838.271,1842.051,2578028900,50792638000.0
300023,2026-07-06,4595.834,4637.498,4536.003,4542.691,1109284300,21185661000.0
301050,2026-07-06,2634.711,2669.094,2621.815,2623.437,2516150400,31720593000.0
300345,2026-07-06,2380.443,2396.134,2340.751,2347.044,6967612400,110333095000.0
307826,2026-07-06,1128.497,1141.129,1122.894,1126.19,1487143900,8094960400.0
308801,2026-07-06,1090.029,1090.601,1056.196,1065.588,4030389600,124749839000.0
309037,2026-07-06,1405.836,1413.853,1375.409,1376.727,1799755900,19327942000.0
309060,2026-07-06,1148.452,1152.303,1121.829,1124.009,8337029800,138320090000.0
301997,2026-07-06,1839.544,1844.551,1793.261,1802.932,1515467000,35492200000.0
308870,2026-07-06,1510.759,1518.218,1479.647,1480.502,12667145400,210612170000.0
308479,2026-07-06,1904.479,1908.458,1849.789,1858.459,5345540200,108055122000.0
309050,2026-07-06,1071.601,1073.799,1034.689,1041.355,677093560,10503076000.0
308525,2026-07-06,1679.321,1686.251,1648.878,1652.474,2055612100,38381944000.0
300862,2026-07-06,498.743,503.328,490.577,490.577,4479736000,19577663000.0
