concept_code,concept_name,trade_date,open,high,low,close,volume,amount
300008,新能源汽车,2024-05-06,2510.529,2535.993,2510.529,2535.993,14744386000,201620140000.0
300008,新能源汽车,2024-05-07,2535.009,2550.009,2521.936,2550.009,13666937000,180137300000.0
300008,新能源汽车,2024-05-08,2541.507,2541.507,2502.649,2505.225,11879347100,151466300000.0
300008,新能源汽车,2024-05-09,2507.266,2548.855,2507.266,2544.021,11765879200,160355470000.0
300008,新能源汽车,2024-05-10,2545.472,2547.466,2498.908,2504.207,11754436900,148574940000.0
300008,新能源汽车,2024-05-13,2484.015,2484.015,2446.399,2455.452,11600669900,144919940000.0
300008,新能源汽车,2024-05-14,2460.868,2485.765,2459.874,2474.754,10568742600,132670652000.0
300008,新能源汽车,2024-05-15,2469.543,2484.1,2450.535,2452.685,9989354500,124154834000.0
300008,新能源汽车,2024-05-16,2458.069,2479.673,2454.365,2461.832,10954673400,138099420000.0
300008,新能源汽车,2024-05-17,2461.161,2497.204,2451.427,2497.204,11874614600,150857150000.0
300008,新能源汽车,2024-05-20,2496.085,2509.999,2489.388,2500.47,13303637800,160220720000.0
300008,新能源汽车,2024-05-21,2495.398,2495.398,2466.478,2475.285,11876090400,141430460000.0
300008,新能源汽车,2024-05-22,2470.961,2498.034,2469.757,2497.836,11443259400,150878660000.0
300008,新能源汽车,2024-05-23,2490.906,2490.906,2450.847,2455.948,11898457300,152100960000.0
300008,新能源汽车,2024-05-24,2449.39,2462.88,2428.51,2428.51,10356500200,138923410000.0
300008,新能源汽车,2024-05-27,2427.957,2439.443,2390.316,2439.093,10492737600,133754658000.0
300008,新能源汽车,2024-05-28,2429.806,2444.12,2412.444,2416.223,9913452100,122871271000.0
300008,新能源汽车,2024-05-29,2413.612,2443.086,2413.612,2437.542,10425799200,133220590000.0
300008,新能源汽车,2024-05-30,2430.721,2446.795,2419.587,2430.198,10473032500,131161097000.0
300008,新能源汽车,2024-05-31,2429.734,2464.547,2429.734,2454.06,10560989400,140504670000.0
300013,大飞机,2024-05-06,2221.643,2243.15,2221.643,2233.527,2709425800,30110039000.0
300013,大飞机,2024-05-07,2236.781,2308.653,2230.812,2306.827,3042022900,37115057000.0
300013,大飞机,2024-05-08,2306.242,2306.242,2272.244,2277.649,2662171800,32391923000.0
300013,大飞机,2024-05-09,2268.028,2336.18,2268.028,2335.607,2726461400,39630578000.0
300013,大飞机,2024-05-10,2337.665,2349.866,2297.881,2300.126,2551928700,34812663000.0
300013,大飞机,2024-05-13,2276.817,2276.817,2237.227,2246.747,2297550500,29017781000.0
300013,大飞机,2024-05-14,2247.926,2266.501,2236.444,2248.656,1840140200,23311331000.0
300013,大飞机,2024-05-15,2241.726,2272.451,2228.36,2238.647,2030317900,23402582000.0
300013,大飞机,2024-05-16,2244.428,2271.293,2233.053,2240.819,2232916800,25947823000.0
300013,大飞机,2024-05-17,2249.993,2308.952,2241.249,2308.952,2794449200,32545369000.0
300013,大飞机,2024-05-20,2300.258,2348.812,2300.258,2334.507,3228084900,36948393000.0
300013,大飞机,2024-05-21,2319.125,2319.125,2270.344,2279.612,2469926100,25836346000.0
300013,大飞机,2024-05-22,2272.554,2293.13,2266.729,2284.425,2195202600,23311983000.0
300013,大飞机,2024-05-23,2288.831,2293.485,2261.986,2263.369,2629100000,28277668000.0
300013,大飞机,2024-05-24,2248.814,2251.055,2208.233,2208.992,2036463700,23251548000.0
300013,大飞机,2024-05-27,2201.915,2206.864,2162.477,2206.007,1816286400,19621967000.0
300013,大飞机,2024-05-28,2196.708,2219.042,2182.337,2191.315,1658063400,18671178000.0
300013,大飞机,2024-05-29,2195.754,2214.544,2180.701,2194.34,1736829000,17914731000.0
300013,大飞机,2024-05-30,2185.403,2227.856,2173.174,2211.447,1858718900,21324999000.0
300013,大飞机,2024-05-31,2219.883,2272.333,2219.883,2260.795,2085864500,25076912000.0
300018,参股保险,2024-05-06,1062.234,1070.104,1062.234,1067.581,3565723400,22431797000.0
300018,参股保险,2024-05-07,1064.434,1068.64,1058.158,1065.36,2635987700,16082785000.0
