concept_code,concept_name,trade_date,open,high,low,close,volume,amount
300008,新能源汽车,2026-07-01,4937.981,5000.459,4932.468,4968.587,33317765000,970898330000.0
300008,新能源汽车,2026-07-02,4914.331,5046.794,4902.427,4921.835,33814864000,908976790000.0
300008,新能源汽车,2026-07-03,4934.308,5077.826,4923.5,5024.334,33324520000,895031360000.0
300008,新能源汽车,2026-07-06,5031.174,5049.776,4903.748,4916.08,31423012000,840338770000.0
300008,新能源汽车,2026-07-07,4904.502,4942.719,4773.472,4790.656,26104013000,686266350000.0
300008,新能源汽车,2026-07-08,4788.409,4794.089,4644.848,4644.848,25741441000,670671760000.0
300008,新能源汽车,2026-07-09,4654.058,4689.217,4510.775,4684.755,28791002000,769233040000.0
300008,新能源汽车,2026-07-10,4688.204,4804.693,4687.51,4687.949,31472419000,869424690000.0
300013,大飞机,2026-07-01,3896.474,3961.368,3896.474,3934.297,4814983100,121645890000.0
300013,大飞机,2026-07-02,3892.38,3980.356,3876.654,3885.089,4617323300,117436711000.0
300013,大飞机,2026-07-03,3893.875,4025.747,3893.875,3990.493,4766574400,113772677000.0
300013,大飞机,2026-07-06,4006.577,4025.815,3877.683,3888.768,4425849600,102758272000.0
300013,大飞机,2026-07-07,3877.052,3905.446,3762.425,3776.007,3521752600,81127160000.0
300013,大飞机,2026-07-08,3776.776,3781.836,3676.404,3676.404,3311767600,75071822000.0
300013,大飞机,2026-07-09,3681.892,3736.093,3587.42,3730.772,3868854700,87242540000.0
300013,大飞机,2026-07-10,3722.919,3929.47,3717.698,3813.039,5464391700,126783816000.0
300018,参股保险,2026-07-01,1279.691,1323.624,1278.683,1317.376,3439136200,26958589000.0
300018,参股保险,2026-07-02,1316.474,1337.608,1316.347,1321.902,3480859100,28647743000.0
300018,参股保险,2026-07-03,1325.172,1339.707,1322.703,1334.838,3073423000,26275210000.0
300018,参股保险,2026-07-06,1334.667,1340.684,1321.895,1325.908,2994195900,24974536000.0
300018,参股保险,2026-07-07,1326.31,1326.31,1293.639,1296.977,2683332400,23350009000.0
300018,参股保险,2026-07-08,1298.337,1303.932,1285.41,1292.043,2832461300,22104856000.0
300018,参股保险,2026-07-09,1289.59,1297.218,1271.314,1290.022,2969282200,22568323000.0
300018,参股保险,2026-07-10,1285.529,1321.742,1274.414,1306.777,3141161200,24162290000.0
300019,网络游戏,2026-07-01,1511.902,1548.148,1503.721,1534.16,3209247400,42734583000.0
300019,网络游戏,2026-07-02,1532.52,1563.772,1530.101,1533.924,3212604900,49652553000.0
300019,网络游戏,2026-07-03,1538.769,1545.799,1520.444,1534.182,3096266200,43241558000.0
300019,网络游戏,2026-07-06,1534.895,1552.017,1521.867,1522.714,2868870600,38722860000.0
300019,网络游戏,2026-07-07,1520.424,1549.903,1505.041,1512.311,3435820200,47357337000.0
300019,网络游戏,2026-07-08,1510.127,1511.873,1485.16,1499.652,3083867900,42768201000.0
300019,网络游戏,2026-07-09,1492.965,1516.552,1482.097,1508.216,3073063000,43733609000.0
300019,网络游戏,2026-07-10,1501.822,1559.445,1491.351,1536.644,3923960800,52463599000.0
300023,食品安全,2026-07-01,4440.302,4609.547,4432.06,4596.937,1562797500,25340300000.0
300023,食品安全,2026-07-02,4560.187,4639.376,4534.414,4545.806,1416309200,22855557000.0
300023,食品安全,2026-07-03,4566.953,4617.817,4545.391,4587.72,1193403940,21173453000.0
300023,食品安全,2026-07-06,4595.834,4637.498,4536.003,4542.691,1109284300,21185661000.0
300023,食品安全,2026-07-07,4523.882,4539.869,4426.526,4436.038,1029727330,17103888000.0
300023,食品安全,2026-07-08,4437.549,4453.297,4391.417,4401.502,1165523610,17583166000.0
300023,食品安全,2026-07-09,4396.482,4450.804,4312.505,4425.425,1223301460,20471619000.0
300023,食品安全,2026-07-10,4419.579,4569.671,4394.725,4488.032,1533843500,22333749000.0
300037,智能电网,2026-07-01,3937.183,3990.539,3914.591,3956.305,8593642600,257195020000.0
300037,智能电网,2026-07-02,3917.714,3983.913,3870.769,3881.577,7723609400,203530010000.0
300037,智能电网,2026-07-03,3890.445,3966.891,3882.698,3929.379,7046840800,192092540000.0
300037,智能电网,2026-07-06,3943.342,3960.921,3835.903,3864.56,5319089100,149737360000.0
300037,智能电网,2026-07-07,3840.957,3860.729,3729.917,3743.744,6161498000,158656740000.0
300037,智能电网,2026-07-08,3745.768,3749.783,3676.593,3690.172,6243062900,159563210000.0
300037,智能电网,2026-07-09,3694.725,3728.513,3591.188,3724.529,7242787000,196547140000.0
300038,流感,2026-07-01,1281.344,1338.153,1269.735,1337.781,3316080300,43228540000.0
300038,流感,2026-07-02,1334.709,1373.563,1334.709,1349.317,3180800000,40986351000.0
300038,流感,2026-07-03,1358.229,1379.586,1341.394,1373.991,3274147700,42797309000.0
300038,流感,2026-07-06,1368.937,1404.816,1364.483,1383.611,3648624200,51466902000.0
300038,流感,2026-07-07,1371.913,1371.913,1330.295,1332.018,2775944000,38209042000.0
300038,流感,2026-07-08,1331.059,1353.213,1317.983,1326.532,2628770000,33308356000.0
300038,流感,2026-07-09,1318.163,1349.049,1302.096,1318.839,2943724400,34189010000.0
300038,流感,2026-07-10,1314.014,1369.488,1298.698,1353.258,3578937500,44051473000.0
300061,京津冀一体化,2026-07-01,1853.274,1917.299,1850.762,1902.263,10062897900,150540500000.0
300061,京津冀一体化,2026-07-02,1891.371,1928.935,1884.884,1888.267,9520524600,139914850000.0
300061,京津冀一体化,2026-07-03,1894.738,1916.065,1889.399,1904.362,8185606600,126323666000.0
300061,京津冀一体化,2026-07-06,1909.487,1920.309,1883.396,1885.003,7858893600,124602648000.0
300061,京津冀一体化,2026-07-07,1878.447,1879.875,1829.165,1834.689,7093525500,106397561000.0
300061,京津冀一体化,2026-07-08,1834.852,1841.082,1815.83,1827.721,7200232900,113008981000.0
300061,京津冀一体化,2026-07-09,1824.964,1839.735,1795.388,1837.772,7848324000,121354402000.0
300066,海峡两岸,2026-07-01,1878.216,1919.767,1875.331,1907.533,9824469100,299458790000.0
300066,海峡两岸,2026-07-02,1886.011,1926.097,1877.853,1882.559,9514604100,272012050000.0
300066,海峡两岸,2026-07-03,1887.257,1915.49,1885.12,1899.67,9381188400,249177790000.0
300066,海峡两岸,2026-07-06,1904.956,1910.578,1858.756,1865.276,8886544900,231711430000.0
300066,海峡两岸,2026-07-07,1859.251,1867.235,1810.407,1815.6,7591709000,194198470000.0
300066,海峡两岸,2026-07-08,1818.469,1819.276,1783.232,1784.894,7108757600,194726050000.0
300066,海峡两岸,2026-07-09,1787.519,1809.658,1745.51,1808.453,8502868600,244989310000.0
300066,海峡两岸,2026-07-10,1806.755,1860.149,1804.906,1817.579,9739925300,284571010000.0
300075,禽流感,2026-07-01,1931.254,2013.065,1918.418,2011.289,507056310,6225272700.0
300075,禽流感,2026-07-02,2005.714,2053.588,2001.54,2020.139,463609310,5897682200.0
