factor_id,factor_name,total_return_pct,max_drawdown_pct,win_rate_pct,trade_count,avg_profit_pct,profit_factor,final_equity,open_positions
alpha161,低ATR偏好,80.56,9.06,64.18,268,1.15,2.12,1805623.8,5
alpha058,20日上涨占比,157.79,37.0,49.02,512,1.41,1.82,2577936.8,5
alpha053,12日上涨占比,205.76,24.7,52.27,616,1.14,1.78,3057635.0,5
alpha040,上涨量下跌量比,145.89,26.41,49.08,487,1.13,1.61,2458941.1,5
alpha043,6日OBV强度,178.05,30.6,50.42,841,0.69,1.48,2780548.9,5
alpha031,12日乖离率,138.34,27.47,50.42,706,0.75,1.43,2383426.6,5
alpha102,成交量RSI,115.93,32.72,49.63,935,0.51,1.35,2159329.4,5
alpha018,5日价格比,117.5,31.83,50.82,856,0.58,1.32,2175036.5,5
alpha032,高点-成交量相关累计,83.37,31.54,50.5,901,0.42,1.32,1833665.4,5
alpha071,24日乖离率,104.24,36.87,48.8,543,0.8,1.31,2042412.6,5
alpha134,12日量价动量,128.05,43.83,45.93,577,0.87,1.29,2280459.4,5
alpha177,接近20日高点,89.33,25.1,49.03,669,0.57,1.28,1893285.9,5
alpha088,20日动量,85.12,36.21,47.61,481,0.85,1.28,1851221.8,5
alpha066,6日乖离率,98.62,33.57,49.65,862,0.52,1.27,1986246.7,5
alpha083,高点-成交量协方差背离,51.75,28.79,52.45,877,0.3,1.21,1517542.8,5
alpha188,振幅低于均值,49.48,41.78,47.32,858,0.31,1.21,1494761.1,5
alpha141,高点-均量背离,34.6,38.84,52.02,794,0.26,1.19,1346044.3,5
alpha084,20日OBV强度,47.89,37.48,47.21,538,0.58,1.18,1478898.9,5
alpha020,6日价格比,57.33,32.99,50.37,810,0.4,1.17,1573315.2,5
alpha104,量价相关变化率,31.01,38.22,52.25,932,0.21,1.12,1310115.9,5
alpha062,高点-成交量短背离,24.3,40.34,50.38,923,0.18,1.1,1243044.1,5
alpha106,20日动量差,42.46,35.76,46.73,428,0.35,1.08,1424559.5,5
alpha024,5日均线偏离,25.83,36.28,51.0,802,0.29,1.08,1258320.8,5
alpha090,VWAP-成交量背离,19.17,44.71,50.85,881,0.17,1.08,1191674.9,5
alpha127,12日高点回撤惩罚,18.87,28.72,47.32,746,0.17,1.08,1188740.7,5
alpha014,5日动量差,-4.17,45.68,51.98,810,0.1,0.99,958331.2,5
alpha176,区间位置-成交量背离,-3.68,39.23,49.61,891,0.03,0.98,963245.4,5
