factor_id,factor_name,total_return_pct,max_drawdown_pct,win_rate_pct,trade_count,avg_profit_pct,profit_factor,final_equity,open_positions
alpha161,低ATR偏好,69.13,20.9,56.34,639,0.92,1.66,1691305.95,10
alpha058,20日上涨占比,78.07,37.68,52.19,1050,0.64,1.41,1780700.18,10
alpha141,高点-均量背离,111.79,31.83,55.49,1566,0.54,1.38,2117861.12,10
alpha066,6日乖离率,118.48,29.07,53.45,1594,0.57,1.36,2184766.67,10
alpha084,20日OBV强度,55.15,41.72,51.15,1089,0.5,1.27,1551509.64,10
alpha062,高点-成交量短背离,77.96,35.92,53.38,1729,0.42,1.25,1779560.08,10
alpha104,量价相关变化率,71.27,38.18,52.47,1723,0.38,1.25,1712742.62,10
alpha014,5日动量差,70.93,28.23,50.66,1506,0.43,1.24,1709333.36,10
alpha032,高点-成交量相关累计,69.37,35.18,52.47,1721,0.39,1.24,1693719.4,10
alpha040,上涨量下跌量比,48.01,38.35,48.65,999,0.53,1.24,1480055.64,10
alpha083,高点-成交量协方差背离,59.63,34.05,52.71,1700,0.35,1.2,1596253.02,10
alpha176,区间位置-成交量背离,52.73,43.09,53.08,1686,0.33,1.2,1527339.26,10
alpha102,成交量RSI,56.03,37.28,50.06,1716,0.36,1.17,1560271.13,10
alpha043,6日OBV强度,49.65,31.64,50.03,1669,0.32,1.17,1496547.82,10
alpha188,振幅低于均值,53.51,40.6,51.89,1590,0.37,1.15,1535052.01,10
alpha031,12日乖离率,41.78,40.74,49.12,1413,0.38,1.15,1417842.33,10
alpha018,5日价格比,45.23,39.23,50.94,1602,0.3,1.14,1452349.88,10
alpha134,12日量价动量,31.91,39.13,48.87,1019,0.39,1.14,1319086.42,10
alpha071,24日乖离率,36.74,44.9,45.06,1072,0.42,1.12,1367448.44,10
alpha020,6日价格比,34.34,37.76,49.22,1532,0.3,1.12,1343365.29,10
alpha090,VWAP-成交量背离,32.16,39.03,49.62,1713,0.24,1.12,1321636.15,10
alpha053,12日上涨占比,24.59,36.44,51.06,1269,0.27,1.1,1245900.67,10
alpha024,5日均线偏离,18.74,41.58,49.35,1546,0.2,1.07,1187382.52,10
alpha177,接近20日高点,14.43,42.32,49.8,1528,0.15,1.07,1144280.58,10
alpha127,12日高点回撤惩罚,11.51,35.99,50.09,1637,0.13,1.05,1115050.1,10
alpha088,20日动量,5.68,51.18,43.93,915,0.18,0.99,1056811.79,10
alpha106,20日动量差,-17.37,54.34,42.63,889,-0.06,0.88,826276.92,10
