factor_id,factor_name,total_return_pct,max_drawdown_pct,win_rate_pct,trade_count,avg_profit_pct,profit_factor,final_equity,open_positions
alpha161,低ATR偏好,61.97,16.05,53.76,93,1.79,2.21,1619721.2,3
alpha141,高点-均量背离,92.89,38.35,55.47,128,1.87,1.98,1928884.3,3
alpha062,高点-成交量短背离,100.07,45.02,58.78,131,1.97,1.89,2000741.75,3
alpha084,20日OBV强度,116.99,36.16,54.33,127,2.17,1.81,2169907.49,3
alpha032,高点-成交量相关累计,79.17,32.95,55.38,130,1.66,1.78,1791719.98,3
alpha058,20日上涨占比,123.28,30.0,58.78,131,2.15,1.76,2232822.9,3
alpha176,区间位置-成交量背离,84.38,35.65,63.08,130,1.71,1.71,1843754.67,3
alpha020,6日价格比,99.66,37.4,49.6,125,1.9,1.62,1996631.37,3
alpha066,6日乖离率,75.56,35.35,47.69,130,1.61,1.49,1755605.88,3
alpha018,5日价格比,81.08,38.7,48.03,127,1.63,1.48,1810826.67,3
alpha083,高点-成交量协方差背离,46.36,35.8,56.15,130,1.17,1.45,1463580.99,3
alpha102,成交量RSI,39.2,45.92,46.51,129,1.07,1.37,1391993.21,3
alpha040,上涨量下跌量比,40.95,35.88,50.82,122,1.05,1.32,1409538.01,3
alpha177,接近20日高点,41.58,52.06,51.94,129,1.21,1.31,1415797.88,3
alpha043,6日OBV强度,30.06,40.62,55.38,130,0.83,1.31,1300611.33,3
alpha090,VWAP-成交量背离,27.27,39.73,51.54,130,0.81,1.27,1272745.54,3
alpha106,20日动量差,38.73,56.51,51.79,112,1.48,1.26,1387284.3,3
alpha053,12日上涨占比,42.82,34.84,50.38,131,0.84,1.25,1428196.22,3
alpha104,量价相关变化率,33.42,40.4,50.4,125,1.06,1.24,1334208.05,3
alpha188,振幅低于均值,36.95,39.63,42.19,128,1.17,1.22,1369489.98,3
alpha014,5日动量差,28.66,41.69,45.97,124,0.82,1.18,1286619.06,3
alpha127,12日高点回撤惩罚,19.09,31.97,48.46,130,0.66,1.18,1190863.62,3
alpha134,12日量价动量,13.02,41.74,47.83,115,0.61,1.11,1130181.4,3
alpha071,24日乖离率,23.62,51.55,49.18,122,0.73,1.07,1236197.15,3
alpha024,5日均线偏离,6.51,50.64,51.24,121,0.51,1.01,1065103.41,3
alpha088,20日动量,1.41,61.81,51.18,127,0.54,1.01,1014098.16,3
alpha031,12日乖离率,-28.33,56.67,38.58,127,-0.56,0.74,716706.31,3
