factor_id,factor_name,total_return_pct,max_drawdown_pct,win_rate_pct,trade_count,avg_profit_pct,profit_factor,final_equity,open_positions
alpha053,12日上涨占比,205.76,24.7,52.27,616,1.14,1.78,3057635.0,5
alpha032,高点-成交量相关累计,83.37,31.54,50.5,901,0.42,1.32,1833665.4,5
alpha177,接近20日高点,89.33,25.1,49.03,669,0.57,1.28,1893285.9,5
alpha088,20日动量,85.12,36.21,47.61,481,0.85,1.28,1851221.8,5
alpha083,高点-成交量协方差背离,51.75,28.79,52.45,877,0.3,1.21,1517542.8,5
alpha141,高点-均量背离,34.6,38.84,52.02,794,0.26,1.19,1346044.3,5
alpha104,量价相关变化率,31.01,38.22,52.25,932,0.21,1.12,1310115.9,5
alpha062,高点-成交量短背离,24.3,40.34,50.38,923,0.18,1.1,1243044.1,5
alpha090,VWAP-成交量背离,19.17,44.71,50.85,881,0.17,1.08,1191674.9,5
alpha176,区间位置-成交量背离,-3.68,39.23,49.61,891,0.03,0.98,963245.4,5
