concept_code,concept_name,trade_date,open,high,low,close,volume,amount
300008,新能源汽车,2025-06-03,3413.849,3450.75,3413.837,3440.775,14466305000,206624740000.0
300008,新能源汽车,2025-06-04,3447.67,3479.218,3447.67,3474.86,15222402000,215373550000.0
300008,新能源汽车,2025-06-05,3477.394,3512.314,3451.184,3507.945,17741897000,262118040000.0
300008,新能源汽车,2025-06-06,3505.3,3506.469,3485.805,3498.426,15230682000,218721100000.0
300008,新能源汽车,2025-06-09,3505.805,3535.789,3505.805,3531.801,16637955000,244696750000.0
300008,新能源汽车,2025-06-10,3532.986,3533.448,3447.792,3490.325,18921383000,270567720000.0
300008,新能源汽车,2025-06-11,3499.326,3543.823,3499.326,3530.351,17327935000,257316580000.0
300008,新能源汽车,2025-06-12,3520.983,3549.174,3507.604,3541.557,16907384000,246143060000.0
300008,新能源汽车,2025-06-13,3526.598,3529.085,3466.56,3470.3,18429912000,267870440000.0
300008,新能源汽车,2025-06-16,3453.717,3498.021,3453.717,3494.483,14121875000,216349170000.0
300008,新能源汽车,2025-06-17,3498.15,3506.392,3473.589,3487.664,14726952000,213343380000.0
300008,新能源汽车,2025-06-18,3477.72,3497.484,3452.752,3497.194,15614041000,228858040000.0
300008,新能源汽车,2025-06-19,3490.03,3518.164,3436.029,3444.374,17197864000,266651760000.0
300008,新能源汽车,2025-06-20,3439.022,3473.805,3413.738,3414.534,13952358000,213434070000.0
300008,新能源汽车,2025-06-23,3389.345,3468.038,3388.89,3467.508,14774723000,214078940000.0
300008,新能源汽车,2025-06-24,3484.776,3583.662,3484.776,3583.662,20849132000,318713560000.0
300008,新能源汽车,2025-06-25,3590.449,3627.462,3585.657,3627.462,22018889000,340964550000.0
300008,新能源汽车,2025-06-26,3626.94,3652.487,3610.377,3611.016,21779489000,335576450000.0
300008,新能源汽车,2025-06-27,3638.047,3647.159,3620.572,3637.362,22306752000,333040430000.0
300008,新能源汽车,2025-06-30,3645.208,3692.687,3642.526,3692.687,21572504000,320321360000.0
300013,大飞机,2025-06-03,2860.671,2901.934,2860.671,2877.676,3196281500,45313411000.0
300013,大飞机,2025-06-04,2877.875,2896.068,2877.803,2882.083,2960594800,38953643000.0
300013,大飞机,2025-06-05,2879.168,2909.791,2863.948,2908.351,3043945800,45043728000.0
300013,大飞机,2025-06-06,2915.978,2934.873,2900.992,2906.847,2838231500,44307759000.0
300013,大飞机,2025-06-09,2913.842,2958.965,2913.842,2946.541,3220377000,52204944000.0
300013,大飞机,2025-06-10,2940.847,2940.877,2872.392,2901.351,3369880600,48035241000.0
300013,大飞机,2025-06-11,2899.166,2923.126,2894.514,2916.885,2616674300,34261168000.0
300013,大飞机,2025-06-12,2908.164,2919.43,2894.693,2909.852,2594270600,36194297000.0
300013,大飞机,2025-06-13,2918.627,2936.432,2893.804,2920.486,4103261800,61941408000.0
300013,大飞机,2025-06-16,2907.003,2936.667,2899.48,2929.889,3011496800,47223158000.0
300013,大飞机,2025-06-17,2922.956,2928.795,2902.149,2927.733,2717003000,40033825000.0
300013,大飞机,2025-06-18,2917.884,2941.754,2914.284,2932.509,3056918200,45788683000.0
300013,大飞机,2025-06-19,2917.08,2917.833,2862.306,2870.333,2991537000,43577580000.0
300013,大飞机,2025-06-20,2862.521,2870.056,2832.009,2833.175,2185456700,30683433000.0
300013,大飞机,2025-06-23,2826.504,2884.932,2826.504,2882.748,2280901200,31602840000.0
300013,大飞机,2025-06-24,2874.699,2928.809,2871.429,2925.201,3042715100,42909283000.0
300013,大飞机,2025-06-25,2929.981,2987.589,2929.981,2987.589,3752963300,56671907000.0
300013,大飞机,2025-06-26,2986.491,3038.429,2985.444,2992.923,4019039000,59866067000.0
300013,大飞机,2025-06-27,2995.814,3021.218,2990.261,3003.475,3398943300,49423663000.0
300013,大飞机,2025-06-30,3013.218,3093.267,3013.218,3092.835,3939989900,66121022000.0
300018,参股保险,2025-06-03,1240.525,1255.96,1240.525,1253.388,2165193300,18948564000.0
300018,参股保险,2025-06-04,1255.702,1268.202,1254.989,1268.1,2059777500,19795819000.0
300018,参股保险,2025-06-05,1268.271,1271.342,1262.399,1268.34,2253559100,21229884000.0
300018,参股保险,2025-06-06,1267.181,1268.251,1262.948,1266.133,1709214400,15182829000.0
300018,参股保险,2025-06-09,1269.652,1280.421,1265.958,1280.2,1985703400,16277399000.0
300018,参股保险,2025-06-10,1280.195,1281.649,1257.448,1267.882,2233902700,18571482000.0
300018,参股保险,2025-06-11,1266.706,1281.257,1266.502,1278.774,2135344700,17717168000.0
300018,参股保险,2025-06-12,1276.675,1286.777,1274.81,1286.284,2334376900,18221964000.0
300018,参股保险,2025-06-13,1283.654,1283.654,1265.067,1267.841,2785564100,21451712000.0
300018,参股保险,2025-06-16,1266.295,1283.865,1266.153,1282.98,2190526900,22407356000.0
300018,参股保险,2025-06-17,1283.184,1290.084,1279.948,1288.201,2213569300,25476879000.0
300018,参股保险,2025-06-18,1284.37,1284.37,1270.599,1272.917,1980705600,21293435000.0
